APAS-TR PPP Solutions 
GPS-  Combination
 Epoch   YEAR    DOY     Sec of GPSweek       X-coordinates   Y-coordinates   Z coordinates      GPS rec clkoff     ZTD         ISB-GLO       ISB-GAL        ISB-BDS2      ISB-BDS3        ISB-J
   42     2023   344          1230.0000       -2713833.3744    5303935.1576   -2269513.5606       2.78018642        2.4450      0.000000       0.000000        0.000000      0.000000       0.000000
   43     2023   344          1260.0000       -2713833.3840    5303935.1608   -2269513.5621       2.77758879        2.4445      0.000000       0.000000        0.000000      0.000000       0.000000
   44     2023   344          1290.0000       -2713833.3961    5303935.1643   -2269513.5644       3.87879236        2.4443      0.000000       0.000000        0.000000      0.000000       0.000000
   45     2023   344          1320.0000       -2713833.4105    5303935.1697   -2269513.5678       2.77361718        2.4429      0.000000       0.000000        0.000000      0.000000       0.000000
   46     2023   344          1350.0000       -2713833.4205    5303935.1706   -2269513.5684       2.80751716        2.4429      0.000000       0.000000        0.000000      0.000000       0.000000
   47     2023   344          1380.0000       -2713833.4295    5303935.1706   -2269513.5674       3.15167597        2.4440      0.000000       0.000000        0.000000      0.000000       0.000000
   48     2023   344          1410.0000       -2713833.4373    5303935.1721   -2269513.5667       2.89491479        2.4446      0.000000       0.000000        0.000000      0.000000       0.000000
   49     2023   344          1440.0000       -2713833.4422    5303935.1731   -2269513.5658       3.05314376        2.4456      0.000000       0.000000        0.000000      0.000000       0.000000
   50     2023   344          1470.0000       -2713833.4436    5303935.1739   -2269513.5648       3.06104705        2.4455      0.000000       0.000000        0.000000      0.000000       0.000000
   51     2023   344          1500.0000       -2713833.4465    5303935.1753   -2269513.5648       2.63003178        2.4450      0.000000       0.000000        0.000000      0.000000       0.000000
   52     2023   344          1530.0000       -2713833.4500    5303935.1755   -2269513.5639       2.78971658        2.4457      0.000000       0.000000        0.000000      0.000000       0.000000
   53     2023   344          1560.0000       -2713833.4536    5303935.1726   -2269513.5626       3.37322062        2.4471      0.000000       0.000000        0.000000      0.000000       0.000000
