APAS-TR PPP Solutions 
GREC2C3J-  Combination
 Epoch   YEAR    DOY     Sec of GPSweek       X-coordinates   Y-coordinates   Z coordinates      GPS rec clkoff     ZTD         ISB-GLO       ISB-GAL        ISB-BDS2      ISB-BDS3        ISB-J
 1779     2023   344         53340.0000       -2713833.4362    5303935.1018   -2269513.5290       1.48137134        2.3833      5.323345      -1.230304      -13.587314    -13.444417       0.306877
 1780     2023   344         53370.0000       -2713833.4362    5303935.1018   -2269513.5290       1.67376523        2.3836      5.325059      -1.230864      -13.589114    -13.444361       0.308339
 1781     2023   344         53400.0000       -2713833.4362    5303935.1019   -2269513.5290       1.62237333        2.3845      5.322188      -1.233097      -13.589653    -13.443018       0.308512
 1782     2023   344         53430.0000       -2713833.4363    5303935.1019   -2269513.5290       1.58851621        2.3850      5.322506      -1.228314      -13.585348    -13.440802       0.308092
 1783     2023   344         53460.0000       -2713833.4363    5303935.1019   -2269513.5291       1.81419123        2.3849      5.323191      -1.229257      -13.586316    -13.440452       0.307868
 1784     2023   344         53490.0000       -2713833.4363    5303935.1019   -2269513.5291       1.51851625        2.3849      5.321705      -1.229997      -13.586460    -13.440698       0.310006
 1785     2023   344         53520.0000       -2713833.4363    5303935.1019   -2269513.5291       1.53917402        2.3851      5.322181      -1.230529      -13.580678    -13.439475       0.311786
 1786     2023   344         53550.0000       -2713833.4363    5303935.1019   -2269513.5291       1.90790175        2.3849      5.324198      -1.229452      -13.585217    -13.440339       0.308881
 1787     2023   344         53580.0000       -2713833.4363    5303935.1019   -2269513.5291       1.84391297        2.3850      5.321452      -1.232260      -13.584067    -13.438545       0.309714
 1788     2023   344         53610.0000       -2713833.4363    5303935.1019   -2269513.5291       1.72230541        2.3851      5.317662      -1.230775      -13.582155    -13.439470       0.309845
 1789     2023   344         53640.0000       -2713833.4363    5303935.1020   -2269513.5291       1.85623491        2.3851      5.320077      -1.230914      -13.581732    -13.439888       0.310787
 1790     2023   344         53670.0000       -2713833.4363    5303935.1020   -2269513.5291       1.86175574        2.3850      5.316334      -1.233519      -13.586687    -13.440321       0.310016
 1791     2023   344         53700.0000       -2713833.4363    5303935.1020   -2269513.5291       1.57231618        2.3847      5.318243      -1.232651      -13.587676    -13.442180       0.308925
 1792     2023   344         53730.0000       -2713833.4363    5303935.1020   -2269513.5291       1.80329342        2.3843      5.313019      -1.233260      -13.586132    -13.445113       0.308524
 1793     2023   344         53760.0000       -2713833.4363    5303935.1020   -2269513.5291       1.77138945        2.3841      5.318735      -1.231821      -13.585949    -13.441946       0.309580
 1794     2023   344         53790.0000       -2713833.4363    5303935.1020   -2269513.5291       1.71461251        2.3842      5.313790      -1.232919      -13.585242    -13.442265       0.309443
 1795     2023   344         53820.0000       -2713833.4363    5303935.1020   -2269513.5291       1.93712714        2.3843      5.314310      -1.232358      -13.583108    -13.442514       0.306995
 1796     2023   344         53850.0000       -2713833.4364    5303935.1020   -2269513.5291       1.72667675        2.3846      5.312951      -1.233900      -13.581602    -13.441455       0.308181
 1797     2023   344         53880.0000       -2713833.4364    5303935.1020   -2269513.5291       1.70015472        2.3852      5.310553      -1.234474      -13.583237    -13.441662       0.308231
 1798     2023   344         53910.0000       -2713833.4364    5303935.1020   -2269513.5291       1.77393648        2.3855      5.312812      -1.233983      -13.584960    -13.441150       0.303730
 1799     2023   344         53940.0000       -2713833.4364    5303935.1020   -2269513.5291       1.91231641        2.3861      5.312502      -1.232242      -13.582609    -13.439353       0.304372
 1800     2023   344         53970.0000       -2713833.4364    5303935.1021   -2269513.5291       1.98158544        2.3866      5.308527      -1.234107      -13.585118    -13.439667       0.307716
 1801     2023   344         54000.0000       -2713833.4364    5303935.1021   -2269513.5291       1.54849659        2.3867      5.309901      -1.232070      -13.581668    -13.438523       0.306314
 1802     2023   344         54030.0000       -2713833.4364    5303935.1021   -2269513.5291       1.53994991        2.3865      5.308815      -1.233387      -13.583144    -13.439449       0.306553
 1803     2023   344         54060.0000       -2713833.4364    5303935.1021   -2269513.5291       1.72426924        2.3868      5.309240      -1.231312      -13.583943    -13.439193       0.306289
 1804     2023   344         54090.0000       -2713833.4364    5303935.1021   -2269513.5291       1.90240935        2.3870      5.306108      -1.233497      -13.583342    -13.438170       0.308066
 1805     2023   344         54120.0000       -2713833.4364    5303935.1021   -2269513.5291       1.54934624        2.3868      5.304282      -1.235208      -13.583775    -13.437999       0.304110
 1806     2023   344         54150.0000       -2713833.4364    5303935.1021   -2269513.5291       2.02912518        2.3870      5.309529      -1.231592      -13.581544    -13.437155       0.307801
 1807     2023   344         54180.0000       -2713833.4364    5303935.1021   -2269513.5291       1.76138829        2.3870      5.305506      -1.234237      -13.580342    -13.440213       0.305145
 1808     2023   344         54210.0000       -2713833.4364    5303935.1021   -2269513.5291       1.85556012        2.3873      5.303905      -1.232469      -13.583803    -13.438076       0.306262
 1809     2023   344         54240.0000       -2713833.4365    5303935.1021   -2269513.5291       1.43993595        2.3877      5.299933      -1.233509      -13.583045    -13.438206       0.305655
 1810     2023   344         54270.0000       -2713833.4365    5303935.1021   -2269513.5291       1.14836074        2.3880      5.302068      -1.237007      -13.584601    -13.438571       0.303833
 1811     2023   344         54300.0000       -2713833.4365    5303935.1022   -2269513.5291       1.65759064        2.3878      5.301631      -1.235467      -13.582248    -13.439683       0.304181
 1812     2023   344         54330.0000       -2713833.4365    5303935.1022   -2269513.5291       1.37951699        2.3881      5.295774      -1.237618      -13.583457    -13.439210       0.301087
 1813     2023   344         54360.0000       -2713833.4365    5303935.1022   -2269513.5291       1.47765241        2.3882      5.297769      -1.234586      -13.585182    -13.438085       0.301531
 1814     2023   344         54390.0000       -2713833.4365    5303935.1022   -2269513.5291       1.62165611        2.3883      5.299615      -1.235038      -13.583567    -13.436438       0.306215
 1815     2023   344         54420.0000       -2713833.4365    5303935.1022   -2269513.5291       1.60752721        2.3885      5.297113      -1.233593      -13.584052    -13.436280       0.305881
 1816     2023   344         54450.0000       -2713833.4365    5303935.1022   -2269513.5291       1.79888655        2.3884      5.294876      -1.234784      -13.582873    -13.436945       0.305408
 1817     2023   344         54480.0000       -2713833.4365    5303935.1022   -2269513.5291       1.96685087        2.3882      5.295676      -1.233956      -13.581911    -13.436517       0.305090
 1818     2023   344         54510.0000       -2713833.4365    5303935.1022   -2269513.5291       1.57380438        2.3880      5.295818      -1.234929      -13.582695    -13.437098       0.307440
 1819     2023   344         54540.0000       -2713833.4365    5303935.1022   -2269513.5291       1.71519087        2.3878      5.296677      -1.233093      -13.582937    -13.436272       0.305968
 1820     2023   344         54570.0000       -2713833.4365    5303935.1022   -2269513.5291       1.69833520        2.3877      5.299303      -1.235048      -13.583171    -13.435471       0.304098
 1821     2023   344         54600.0000       -2713833.4365    5303935.1022   -2269513.5291       1.53166724        2.3877      5.297345      -1.234231      -13.580734    -13.434994       0.307770
 1822     2023   344         54630.0000       -2713833.4365    5303935.1022   -2269513.5291       1.54866501        2.3873      5.293844      -1.233594      -13.578065    -13.434852       0.303015
 1823     2023   344         54660.0000       -2713833.4365    5303935.1022   -2269513.5291       1.73749814        2.3873      5.293747      -1.233685      -13.580465    -13.433668       0.308035
 1824     2023   344         54690.0000       -2713833.4365    5303935.1022   -2269513.5291       1.78298335        2.3867      5.297060      -1.231643      -13.576527    -13.433519       0.306392
 1825     2023   344         54720.0000       -2713833.4365    5303935.1022   -2269513.5291       1.56423398        2.3865      5.292604      -1.234166      -13.576677    -13.433016       0.306636
